,ingredients,Count
762,澄粉,18
763,澄面,5
764,火焙鱼,3
765,火腿,368
766,火腿汁,1
767,火腿肠,1
768,火锅底料,20
769,火锅底料红油,1
770,火鸡腿,1
771,火龙果,3
772,灯笼椒,5
773,灵芝,3
774,炒料,1
775,炒料姜,1
776,炒料干椒,1
777,炒料盐,1
778,炒料花椒,1
779,炒料郫县豆瓣酱,1
780,炒米,1
781,炖肉料,2
782,炸粉,3
783,炸酱,1
784,烘焙油纸,1
785,烤冷面的面,1
786,烤海苔,2
787,烤肉料,6
788,烤肉酱,8
789,烤肠,1
790,烤麸,12
791,烧汁,1
792,烧烤汁,1
793,烧肉,2
794,烧饼,2
795,烧鸡公调料,1
796,烧鸭,4
797,热水,4
798,热狗原味,1
799,熊掌,1
800,熏醋,1
801,熟五花肉,3
802,熟五花肉末,1
803,熟地黄,1
804,熟猪大肠,1
805,熟猪油,1
806,熟猪肉,1
807,熟猪肝,1
808,熟猪苦肠,1
809,熟猪血肠,1
810,熟白芝麻,5
811,熟芝麻,6
812,熟花生,1
813,熟花生油,1
814,熟花生碎,2
815,熟花生米,1
816,熟面粉,6
817,熟鸡蛋,1
818,燕窝,14
819,燕饺,1
820,燕麦片,20
821,片糖,5
822,牙签,1
823,牛仔骨,2
824,牛大肠,1
825,牛奶,26
826,牛奶馅料部分,1
827,牛尾,7
828,牛心,4
829,牛排,3
830,牛板筋,1
831,牛柳,1
832,牛油,17
833,牛油果,1
834,牛筋,2
835,牛筋丸,1
836,牛肉,174
837,牛肉丝,1
838,牛肉前腿,1
839,牛肉干,1
840,牛肉末,2
841,牛肉末t,1
842,牛肉片,1
843,牛肉瘦,2
844,牛肉粉,2
845,牛肉腹部肉,1
846,牛肉酱,5
847,牛肉酱豆瓣酱,1
848,牛肉里脊,2
849,牛肉馅,5
850,牛肚,41
851,牛肝菌,3
852,牛脑,2
853,牛腩,24
854,牛腱子,18
855,牛舌,7
856,牛蒡,10
857,牛蛙,11
858,牛蹄筋,13
859,牛里脊,29
860,牛里脊肉,1
861,牛鞭,2
862,牛骨,3
863,牛髓,4
864,牡丹花,1
865,牡蛎,14
866,特级酱油,1
867,特级鲜酱油,1
868,狗母鱼,3
869,独大蒜,1
870,独头蒜,1
871,独蒜,5
872,狮头鱼,1
873,猕猴桃,3
874,猪二层肉,1
875,猪五花,4
876,猪五花肉,1
877,猪前腿肉,1
878,猪大排,192
879,猪大肠,34
880,猪大骨头,37
881,猪大骨汤,1
882,猪头肉,11
883,猪小排,6
884,猪小肠,8
885,猪尾巴,10
886,猪尾骨,1
887,猪心,10
888,猪手,2
889,猪排,1
890,猪排骨,2
891,猪板筋,1
892,猪梅肉,2
893,猪梅花肉,1
894,猪棒骨,1
895,猪油,8
896,猪油或者菜籽油,1
897,猪油板油,532
898,猪油渣,1
899,猪油炼,1
900,猪瘦肉,14
901,猪瘦肉t,1
902,猪皮,24
903,猪皮冻,1
904,猪筒骨,2
905,猪网油,14
906,猪耳,8
907,猪耳朵,1
908,猪肉,627
909,猪肉后肘,32
910,猪肉后臀尖,9
911,猪肉松,3
912,猪肉瘦,14
913,猪肉肉丝,1
914,猪肉肥,3
915,猪肉肥瘦,8
916,猪肉腿,2
917,猪肉通脊良杂猪,1
918,猪肉里脊,3
919,猪肉馅,127
920,猪肋排,2
921,猪肘,2
922,猪肘子,1
923,猪肘肉,1
924,猪肚,60
925,猪肝,36
926,猪肠,11
927,猪肠粉,3
928,猪肺,4
929,猪脊肉,1
930,猪脊骨,14
931,猪脑,4
932,猪脚,1
933,猪腰,36
934,猪腿肉,31
935,猪臀尖,1
936,猪舌,5
937,猪血,8
938,猪血肠,1
939,猪蹄,75
940,猪蹄筋,10
941,猪蹄膀,3
942,猪通脊,1
943,猪通脊肉,1
944,猪里脊,3
945,猪里脊肉,156
946,猪颈肉,3
947,猪骨,3
948,猪髓,1
949,猴头菇,5
950,玉兰片,63
951,玉竹,10
952,玉米,72
953,玉米油,34
954,玉米油油酥,1
955,玉米淀粉,192
956,玉米笋,5
957,玉米粒,1
958,玉米粒黄干,14
959,玉米糁黄,1
960,玉米糖稀,1
961,玉米胚芽油,1
962,玉米面白,1
963,玉米面黄,41
964,玉米鲜,15
965,玫瑰花,4
966,玫瑰茄,1
967,玫瑰酒,4
968,玫瑰酱,1
969,玫瑰露酒,1
970,玫瑰香葡萄,1
971,珍珠斑,1
